NO,ID POOLING ORDER,BUSSINES SEGMENT,ORGANIZATION,BOOKING DATE,NO JOB ORDER,NO FO,CUSTOMER NAME,SAT (SERVICE AGREEMENT TYPE),CONSIGNE,SALES PRODUCT,ESTIMATE REQ DLV DATE,PRODUCT,ATTACHMENT,CONTAINER TYPE,QUANTITY,FREIGHT TYPE,TRANSPORT TYPE,PICK UP LOCATION,ADDRESS LOADING POINT,ORIGIN,DROP OF LOCATION,ADDRESS UNLOADING POINT,DESTINATION,COMMERCIAL ROUTE,SQ NUMBER,DATE CONFIRM,CONFIRMED QTY,TOTAL MISSED,REASON MISSED,STATUS POOLING,PIC NAME,UPLOAD DOCUMENT,,
1,SM-D000001,ILS,Tanah Merdeka Petra - Sinarmas,29/06/2026 9:00,TESTING,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-RTB,30/06/2026 13:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - TANJUNG PRIOK (IKK)  - 0 - 160,PTR.SQ.1001288,29/06/2026 9:00,1,,,CONFIRM,BADRUS SOLEH,, PTR.SO.1044522,PTR.CDO1087834
2,SM-D000002,ILS,Tanah Merdeka Petra - Sinarmas,29/06/2026 9:00,TESTING 2,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT(2x20)-RTB,30/06/2026 13:00,CNTD20FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,UTC,,,KARAWANG - DEPO PRIOK (OPEN CY) - 0 - 160,PTR.SQ.1001288,29/06/2026 9:00,1,,,CONFIRM,BADRUS SOLEH,,PTR.SO.1044528,PTR.CDO1087855
3,SM-D000003,ILS,Tanah Merdeka Petra - Sinarmas,29/06/2026 19:17,SI DO DN F1O0000467 - 272724662,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,29/06/2026 19:17,CNTD40FT,,40FT,7,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,29/06/2026 19:17,7,,,CONFIRM,BADRUS SOLEH,,PTR.SO.1044538,PTR.CDO1087868-PTR.CDO1087874
4,SM-D000004,ILS,Tanah Merdeka Petra - Sinarmas,29/06/2026 22:42,SI DO F1O0000162 - 080600290866,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,29/06/2026 22:43,CNTD40FT,,40FT,8,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,29/06/2026 23:11,8,,,CONFIRM,ABIMANYU PUTRA,,PTR.SO.1044538,PTR.CDO1087875-PTR.CDO1087882
5,SM-D000005,ILS,Tanah Merdeka Petra - Sinarmas,30/06/2026 15:24,SI DO : F1O0000391 - 2330851270,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,01/07/2026 8:00,CNTD40FT,,40FT,15,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,30/06/2026 15:24,15,,,CONFIRM,BADRUS SOLEH,,PTR.SO.1044538,PTR.CDO1088058-PTR.CDO1088072
6,SM-D000006,ILS,Tanah Merdeka Petra - Sinarmas,01/07/2026 15:02,SI DO : F1O0000352 - 272368172,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,01/07/2026 20:00,CNTD40FT,,40FT,5,EXPORT,FULL TRUCKING LOAD (EXP - IMP),PT. Indah Kiat Pulp & Paper - Karawang,,,BSA,,,KARAWANG - CAKUNG (FULL)  - 0 - 160,PTR.SQ.1001288,01/07/2026 15:02,5,,,CANCEL,M. SANDI PRAWIRA,,,
7,SM-D000007,ILS,Tanah Merdeka Petra - Sinarmas,02/07/2026 21:32,F1O0000447,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,02/07/2026 10:00,CNTD40FT,,40FT,7,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,02/07/2026 10:00,7,,,CONFIRM,M. SANDI PRAWIRA,,,
8,SM-D000008,ILS,Tanah Merdeka Petra - Sinarmas,02/07/2026 21:32,F1O0000446,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,02/07/2026 10:00,CNTD40FT,,40FT,14,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,02/07/2026 10:00,14,,,CONFIRM,M. SANDI PRAWIRA,,,
9,SM-D000009,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,271073530 / F1O0000200,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 11:00,CNTD40FT,,40FT,4,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,4,,,CONFIRM,M. SANDI PRAWIRA,,,
10,SM-D000010,ILS,Tanah Merdeka Petra - Sinarmas,03/07/2026 11:00,271319106 / F1O0000204,,INDAH KIAT PULP & PAPER TBK.,REGULER TRIP BASIS ( RTB),INDAH KIAT PULP & PAPER TBK.,CNTD40FT-DTB,03/07/2026 20:00,CNTD40FT,,40FT,1,EXPORT,FULL TRUCKING LOAD (EXP - IMP),BSA,,,NPCT 1,,,BSA - TANJUNG PRIOK (REPO FULL),PTR.SQ.1001288,03/07/2026 11:00,1,,,CONFIRM,M. SANDI PRAWIRA,,,
